Airport Name,Latitude,Longitude
Mehsana Airfield,23.60112381N,72.37393188E
Memaura Helipad,26.66161156N,80.86264038E
Minicoy Helipad,8.27363014N,73.02230072E
Missamari AFS,26.81834221N,92.599617E
Mithapur Airfield,22.41187477N,68.99316406E
Moradabad Circuit House Helipad,28.83101463N,78.73262024E
Muirpur Airport,24.12520027N,83.04060364E
Mulshi Helipad,18.51736069N,73.51637268E
Mumbai - Chhatrapati Shivaji International Airport (BOM/VABB),19.08876801N,72.86808777E
Mumbai University Helipad,19.06700516N,72.85693359E
Muzaffarnagar Helipad,29.47555542N,77.70635223E
Muzzafarpur Airport (MZU/VEMZ),26.1184063N,85.31214905E
Mysore Airport (MYQ/VOMY),12.23188496N,76.65673828E
Nadirgul Runway,17.30606651N,78.56048584E
Nagar Navy Helipad,18.89829636N,72.81489563E
Nagarjuna Sagar Airport (VONS),16.54162979N,79.31638336E
Nagaur Airport,27.20829964N,73.71140289E
Nagpur International Airport (NAG/VANP),21.09250069N,79.04722595E
Nagrota AHP,32.79384232N,74.91026306E
Nal Barracks Heliport,28.04133606N,73.3527832E
Nal-Bikaner AFS (BKB/VIBK),28.07060051N,73.2071991E
Namchi Helipad,27.15673256N,88.32206726E
Nanded Airport (NDC/VAND),19.18143463N,77.32558441E
Nawapara Airport (VENP),20.87000084N,82.51959991E
New Delhi International Airport (DEL/VIDP),28.56497955N,77.11029816E
Neyveli Airport (NVY),11.61295605N,79.5273819E
Nimach Airport,24.43079948N,74.86779785E
NSG Heliport,28.35032654N,76.95729828E
Nuagaon Airport,20.51169968N,83.44809723E
Ojhar AFS (VAOZ),20.11910057N,73.91290283E
Ondwa Airport,25.14150047N,74.6115036E
ONGC Helipad,18.86353111N,72.92385864E
OP Jindal University Heliport,28.92391777N,77.05783844E
Osmanabad Airport,18.28123665N,76.05776978E
Ozarde Maval Helipad,18.70590591N,73.60285187E
Pakyong Airport (PYG/VEPY),27.23221588N,88.58827209E
Panagarh AFS (VEPH),23.47430038N,87.42749786E
Pandaveswar Airfield,23.63815498N,87.34958649E
Panthakot AFS (IXP/VIPK),32.23379898N,75.63459778E
Pantnagar Airport (PGH/VIPT),29.03339958N,79.47370148E
PAP Complex Heliport,31.29208374N,75.60720062E
Pasighat Airport (IXT/VEPG),28.06594849N,95.33654022E
Patiala Airport (VIPL),30.31487465N,76.36351776E
Patna Airport (PAT/VEPT),25.59197617N,85.09076691E
Pedong Helipad,27.15593338N,88.61064911E
Pelling Helipad,27.30050087N,88.23085022E
Phadial Helipad,32.29463577N,75.71740723E
Phalodi AFS,27.10699844N,72.21225739E
Phalodi Airport,27.11289978N,72.38899994E
Phaphamau Air Base,25.54858971N,81.88058472E
Piardoba Airfield,22.98950768N,87.29959869E
Pilani New Airport,28.34880066N,75.59369659E
Pilibhit Helipad,28.6515274N,79.82131195E
Pithorgarh Airport (VIDF),29.59359932N,80.23919678E
Pondicherry Airport (PNY/VOTY),11.9684906N,79.8128891E
Poonch Helipad,33.77000809N,74.08339691E
Porbandar Airport (PBD/VAPR),21.64870071N,69.65720367E
Prayagraj Helipad,25.48650932N,81.85043335E
Pukpui Helipad,22.94226646N,92.76885223E
Pune Air Base,18.47303581N,73.77944946E
Raedhanpur AFS,23.22229958N,68.89129639E
Raichur Helipad,16.27719307N,77.35541534E
Raigarh Airport (JSPL),21.93667221N,83.3454895E
Rainawari Barracks Helipad,34.06001282N,74.85629272E
Raipur Airport (RPR/VARP),21.18040085N,81.73880005E
Raipur University Helipad,21.24826622N,81.59983826E
Raj Bhavan Helipad,18.94264984N,72.79401398E
Rajahmundry Airport (RJA/VORY),17.10982513N,81.81871033E
Rajkot Airport (RAJ/VARK),22.30920029N,70.77950287E
Rajouri Airport (RJI),33.37789917N,74.31520081E
Ranchi Airport (IXR/VERC),23.31430054N,85.32170105E
Rangapahar AFS,25.85531235N,93.70649719E
Rangeilunda Airfield,19.29797363N,84.87696838E
Raniganj AFS,23.5942421N,87.22434235E
Rasgovindpur Airstrip,21.80508995N,87.04690552E
Ratlam Airport,23.38139915N,75.02559662E
Ratnagiri Airport (RTC/VARG),17.0135994N,73.32779694E
Raxaul Airport (VERL),26.99656868N,84.82046509E
Rewa Helipad,24.55497169N,81.29534912E
Rourkela Airport (RRK/VERK),22.25670052N,84.81459808E
Rupsi Airport (RUP/VERU),26.13969994N,89.91000366E
Safdarjung Airport (VIDD),28.58449936N,77.20580292E
Sagar Helipad,23.84256363N,78.79357147E
Saiha Helipad,22.48826981N,92.9871521E
Salem Airport (SXV/VOSM),11.7833004N,78.06559753E
Salua AFS,22.26011086N,87.3069458E
Salwas AFS,26.14164734N,73.09706116E
Sarmat Range Helipad,22.46637917N,69.94553375E
Sarsawa AFS (VISP),29.9939003N,77.4253006E
Satara Sainik School Helipad,17.6911602N,74.01886749E
Satna Airport (TNI/PGWT),24.56229973N,80.85489655E
Serchhip Helipad,23.32875061N,92.85606384E
Sevoke Road Heliport,26.77440071N,88.45231628E
Shahpur Kandi Helipad,32.37793732N,75.68100739E
Sheeri Police Helipad,34.19104767N,74.30138397E
Shekh Pora Heliport,34.0151825N,74.75485992E
Shibpur Airstrip,13.23631668N,93.04972839E
Shikra Naval Helibase,18.91334534N,72.82920837E
Shillong Airport (SHL/VEBI),25.70344543N,91.97756195E
Shillong Helipad,25.54371262N,91.87498474E
Shimla Airport (SLV/VISM),31.08180046N,77.06800079E
Shirpur Airport,21.3239994N,74.9567337E
Shri Guru Ram Rai University Helipad,30.30297279N,78.03150177E
Sidhi Airport,24.40229988N,81.81479645E
Sido Kanhu Airfield,24.23107529N,87.26964569E
Sindhudurg Airport,16.00254822N,73.52931213E
Sirohi Airport,24.89509964N,72.84590149E
Sirsa AFS (VISA),29.56060028N,75.00610352E
Solapur Airport (SSE/VASL),17.62800026N,75.93479919E
Sonari Airport (IXW/VEJS),22.8132N,86.16880035E
Sonipat Police Line Helipad,29.00488281N,77.0018158E
Sookerating Airport,27.55290031N,95.57060242E
Sri Ganganagar Helipad,29.9514389N,73.9009552E
Srinagar AFS (SXR/VISR),33.9888382N,74.77190399E
STC BSF Helipad,24.32670021N,93.67546844E
Sultanpur,26.24749947N,82.04250336E
Surat Airport (STV/VASU),21.1140995N,72.7417984E
Suratgarh Air Force Station,29.38780022N,73.90390015E
SVP University Helipad,29.08607674N,77.6973114E
Tadepallegudem Airfield,16.83304405N,81.53082275E
Tambaram AFS (VOTX),12.90719986N,80.12190247E
